"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
83;"R4";"R_0805_2012Metric";1;"330k";;;
84;"SW30,SW45";"MX100H";2;"N/A";;;
85;"SW57";"MX100H";1;"QUOTE";;;
86;"SW22";"MX100H";1;"6";;;
87;"F1";"Fuse_1812_4532Metric";1;"mSMD110-16V";;;
88;"R14";"R_0805_2012Metric";1;"10k";;;
89;"SW34";"MX100H";1;"E";;;
90;"SW52";"MX100H";1;"H";;;
91;"SW63";"MX100H";1;"C";;;
92;"SW20";"MX100H";1;"4";;;
93;"SW4";"MX100H";1;"F2";;;
94;"SW42";"MX100H";1;"LBRKT";;;
95;"U5";"SOT-23-6";1;"TXS0101DBVR";;;
96;"SW76";"MX125H";1;"LALT";;;
97;"SW38";"MX100H";1;"U";;;
98;"SW58";"MX225HR";1;"ENTER";;;
99;"SW32";"MX100H";1;"Q";;;
100;"SW29";"MX200H";1;"BSPC";;;
101;"SW68";"MX100H";1;"COMMA";;;
102;"SW53";"MX100H";1;"J";;;
103;"SW79";"MX100H";1;"FN";;;
104;"SW10";"MX100H";1;"F8";;;
105;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"TAXM8M4RFDCET2T";;;
106;"SW80";"MX100H";1;"RCTRL";;;
107;"R10,R9";"R_0402_1005Metric";2;"4.7k";;;
108;"SW13";"MX100H";1;"F11";;;
109;"SW62";"MX100H";1;"X";;;
110;"SW77";"MX625HR";1;"SPACE";;;
111;"SW28";"MX100H";1;"EQUAL";;;
112;"U4";"LQFP-64_10x10mm_P0.5mm";1;"STM32F401RCT6";;;
113;"SW23";"MX100H";1;"7";;;
114;"SW66";"MX100H";1;"N";;;
115;"SW19";"MX100H";1;"3";;;
116;"H2,H5,H4,H3";"9774030243R";4;"MountingHole";;;
117;"J4";"SSD1306";1;"SSD1306";;;
118;"H1";"9774035243R";1;"9774035243R";;;
119;"SW84";"PEC11R-4220K-S0024";1;"RotaryEncoder_Switch";;;
120;"J1";"TYPE-C-31-M-12";1;"TYPE-C-31-M12";;;
